"","b1_division","b1_teams","b1_avg_AG","b1_away_as","b1_away_ds"
"1","B1","Anderlecht","0.5208","2.4687","1.4211"
"2","B1","Cercle Brugge","0.5208","1.2801","2.0725"
"3","B1","Charleroi","0.5208","1.3715","2.6646"
"4","B1","Club Brugge","0.5208","3.3602","1.8652"
"5","B1","Eupen","0.5208","1.6801","2.7978"
"6","B1","Genk","0.5208","4.1145","1.2435"
"7","B1","Gent","0.5208","3.2916","1.954"
"8","B1","Germinal","0.5208","1.4401","3.2641"
"9","B1","Kortrijk","0.5208","1.0972","1.7764"
"10","B1","Lierse","0.5208","1.3715","1.954"
"11","B1","Lokeren","0.5208","2.6402","2.0206"
"12","B1","Mechelen","0.5208","1.9201","2.4869"
"13","B1","St Truiden","0.5208","0.8229","3.1975"
"14","B1","Standard","0.5208","3.2002","2.0725"
"15","B1","Waregem","0.5208","2.1944","1.7764"
"16","B1","Westerlo","0.5208","1.9201","1.4507"
"17","D1","Bayern Munich","0.585","1.7094","2.0309"
"18","D1","Dortmund","0.585","4.6398","0.9671"
"19","D1","Ein Frankfurt","0.585","3.2051","1.6924"
"20","D1","FC Koln","0.585","1.7094","2.7078"
"21","D1","Freiburg","0.585","1.9536","2.321"
"22","D1","Hamburg","0.585","2.6862","2.5144"
"23","D1","Hannover","0.585","1.1396","2.2565"
"24","D1","Hoffenheim","0.585","2.9304","1.9342"
"25","D1","Kaiserslautern","0.585","2.442","3.0947"
"26","D1","Leverkusen","0.585","3.663","1.3539"
"27","D1","Mainz","0.585","3.4188","1.5796"
"28","D1","Mgladbach","0.585","3.663","4.2552"
"29","D1","Nurnberg","0.585","1.4957","2.5386"
"30","D1","Schalke 04","0.585","1.4652","2.7078"
"31","D1","St Pauli","0.585","1.4652","2.1276"
"32","D1","Stuttgart","0.585","2.1978","3.2881"
"33","D1","Werder Bremen","0.585","1.9536","4.0617"
"34","D1","Wolfsburg","0.585","1.9231","2.2001"
"35","D2","Aachen","0.4314","2.318","2.0719"
"36","D2","Augsburg","0.4314","4.3463","1.4503"
"37","D2","Bielefeld","0.4314","1.3246","3.5222"
"38","D2","Bochum","0.4314","1.9317","1.9338"
"39","D2","Cottbus","0.4314","4.2497","2.6589"
"40","D2","Duisburg","0.4314","3.3115","1.6575"
"41","D2","Erzgebirge Aue","0.4314","2.318","2.1755"
"42","D2","Fortuna Dusseldorf","0.4314","1.4488","2.3568"
"43","D2","Frankfurt FSV","0.4314","2.318","1.4503"
"44","D2","Greuther Furth","0.4314","3.0907","1.692"
"45","D2","Hertha","0.4314","1.9317","1.2086"
"46","D2","Ingolstadt","0.4314","2.7044","2.9007"
"47","D2","Karlsruhe","0.4314","2.6492","4.1438"
"48","D2","Munich 1860","0.4314","3.1873","1.8129"
"49","D2","Oberhausen","0.4314","1.4488","3.2632"
"50","D2","Osnabruck","0.4314","1.9869","3.5222"
"51","D2","Paderborn","0.4314","1.3246","2.9007"
"52","D2","Union Berlin","0.4314","2.0283","2.7194"
"53","E0","Arsenal","0.4132","3.8031","1.5149"
"54","E0","Aston Villa","0.4132","1.7287","3.7873"
"55","E0","Birmingham","0.4132","2.7659","3.0298"
"56","E0","Blackburn","0.4132","3.1116","3.0298"
"57","E0","Blackpool","0.4132","3.0252","3.5348"
"58","E0","Bolton","0.4132","3.8031","2.7774"
"59","E0","Chelsea","0.4132","3.8031","1.5149"
"60","E0","Everton","0.4132","2.4201","1.7674"
"61","E0","Fulham","0.4132","1.7287","1.7674"
"62","E0","Liverpool","0.4132","1.3829","2.7774"
"63","E0","Man City","0.4132","4.1488","1.5149"
"64","E0","Man United","0.4132","3.8031","2.5249"
"65","E0","Newcastle","0.4132","2.4201","3.0298"
"66","E0","Stoke","0.4132","2.4201","2.5249"
"67","E0","Sunderland","0.4132","2.7659","2.5249"
"68","E0","Tottenham","0.4132","3.4573","3.0298"
"69","E0","West Brom","0.4132","2.7659","4.0398"
"70","E0","West Ham","0.4132","1.3829","3.5348"
"71","E0","Wigan","0.4132","1.6134","2.3565"
"72","E0","Wolves","0.4132","1.7287","3.5348"
"73","E1","Barnsley","0.3587","1.5931","5.3976"
"74","E1","Bristol City","0.3587","3.1861","2.9987"
"75","E1","Burnley","0.3587","2.7878","2.6988"
"76","E1","Cardiff","0.3587","5.1774","2.0991"
"77","E1","Coventry","0.3587","3.5844","2.6988"
"78","E1","Crystal Palace","0.3587","1.9913","5.0978"
"79","E1","Derby","0.3587","2.7878","2.9987"
"80","E1","Doncaster","0.3587","4.3809","4.7979"
"81","E1","Hull","0.3587","1.9913","4.498"
"82","E1","Ipswich","0.3587","2.7878","2.3989"
"83","E1","Leeds","0.3587","4.3809","2.9987"
"84","E1","Leicester","0.3587","3.5844","5.9974"
"85","E1","Middlesbrough","0.3587","0.7965","3.8983"
"86","E1","Millwall","0.3587","2.7878","2.3989"
"87","E1","Norwich","0.3587","3.1861","2.0991"
"88","E1","Nottm Forest","0.3587","2.3896","2.6988"
"89","E1","Portsmouth","0.3587","2.3896","3.2985"
"90","E1","Preston","0.3587","4.3809","5.3976"
"91","E1","QPR","0.3587","5.1774","1.1995"
"92","E1","Reading","0.3587","3.5844","2.0991"
"93","E1","Scunthorpe","0.3587","4.7792","2.9987"
"94","E1","Sheffield United","0.3587","1.5931","1.7992"
"95","E1","Swansea","0.3587","3.5844","3.2985"
"96","E1","Watford","0.3587","5.974","2.9987"
"97","E2","Bournemouth","0.3822","2.9902","2.8971"
"98","E2","Brentford","0.3822","2.9902","2.2533"
"99","E2","Brighton","0.3822","4.4853","0.9657"
"100","E2","Bristol Rvs","0.3822","3.7378","3.219"
"101","E2","Carlisle","0.3822","3.364","2.2533"
"102","E2","Charlton","0.3822","4.4853","4.1846"
"103","E2","Colchester","0.3822","2.9902","1.6095"
"104","E2","Dag and Red","0.3822","2.2427","4.8284"
"105","E2","Exeter","0.3822","2.9902","4.1846"
"106","E2","Hartlepool","0.3822","1.4951","0.9657"
"107","E2","Huddersfield","0.3822","4.1115","3.5408"
"108","E2","Leyton Orient","0.3822","2.6164","3.8627"
"109","E2","Milton Keynes Dons","0.3822","2.9902","5.4722"
"110","E2","Notts County","0.3822","2.9902","4.5065"
"111","E2","Oldham","0.3822","3.7378","3.8627"
"112","E2","Peterboro","0.3822","2.9902","3.8627"
"113","E2","Plymouth","0.3822","3.364","3.8627"
"114","E2","Rochdale","0.3822","3.7378","2.8971"
"115","E2","Sheffield Weds","0.3822","4.4853","1.9314"
"116","E2","Southampton","0.3822","3.364","2.2533"
"117","E2","Swindon","0.3822","4.8591","4.8284"
"118","E2","Tranmere","0.3822","3.364","3.5408"
"119","E2","Walsall","0.3822","2.6164","3.219"
"120","E2","Yeovil","0.3822","1.8689","3.8627"
"121","E3","Accrington","0.3605","1.1888","2.5335"
"122","E3","Aldershot","0.3605","2.3777","2.2168"
"123","E3","Barnet","0.3605","2.7739","6.3337"
"124","E3","Bradford","0.3605","1.5851","3.4835"
"125","E3","Burton","0.3605","2.3777","3.1669"
"126","E3","Bury","0.3605","6.3404","3.1669"
"127","E3","Cheltenham","0.3605","5.1516","5.7004"
"128","E3","Chesterfield","0.3605","2.7739","1.9001"
"129","E3","Crewe","0.3605","5.1516","4.1169"
"130","E3","Gillingham","0.3605","3.9628","5.067"
"131","E3","Hereford","0.3605","4.359","4.1169"
"132","E3","Lincoln","0.3605","1.9814","3.8002"
"133","E3","Macclesfield","0.3605","3.5665","3.4835"
"134","E3","Morecambe","0.3605","3.1702","5.067"
"135","E3","Northampton","0.3605","1.5851","4.4336"
"136","E3","Oxford","0.3605","2.3777","3.1669"
"137","E3","Port Vale","0.3605","4.359","1.2667"
"138","E3","Rotherham","0.3605","3.5665","1.9001"
"139","E3","Shrewsbury","0.3605","3.9628","3.1669"
"140","E3","Southend","0.3605","2.7739","2.2168"
"141","E3","Stevenage","0.3605","2.7739","1.5834"
"142","E3","Stockport","0.3605","2.7739","2.5335"
"143","E3","Torquay","0.3605","3.9628","2.5335"
"144","E3","Wycombe","0.3605","3.9628","1.9001"
"145","EC","AFC Wimbledon","0.3315","4.7404","3.2129"
"146","EC","Altrincham","0.3315","2.0111","5.4522"
"147","EC","Barrow","0.3315","2.1547","3.2129"
"148","EC","Bath City","0.3315","3.0166","3.7971"
"149","EC","Cambridge","0.3315","0.4309","2.9208"
"150","EC","Crawley Town","0.3315","4.902","1.5334"
"151","EC","Darlington","0.3315","3.0166","2.3367"
"152","EC","Eastbourne Borough","0.3315","4.3094","6.1337"
"153","EC","Fleetwood Town","0.3315","3.4475","1.1683"
"154","EC","Forest Green","0.3315","3.0166","4.9654"
"155","EC","Gateshead","0.3315","3.8785","4.0891"
"156","EC","Grimsby","0.3315","3.8785","3.2129"
"157","EC","Hayes & Yeading","0.3315","2.1547","4.0891"
"158","EC","Histon","0.3315","2.5856","4.0891"
"159","EC","Kettering Town","0.3315","3.4475","2.3367"
"160","EC","Kidderminster","0.3315","3.0166","3.505"
"161","EC","Luton","0.3315","4.3094","2.6287"
"162","EC","Mansfield","0.3315","4.3094","2.6287"
"163","EC","Newport County","0.3315","3.0166","2.0446"
"164","EC","Rushden & D","0.3315","3.4475","2.9208"
"165","EC","Southport","0.3315","2.5856","2.6287"
"166","EC","Tamworth","0.3315","3.4475","3.505"
"167","EC","Wrexham","0.3315","3.8785","3.2129"
"168","EC","York","0.3315","3.4475","3.7971"
"169","F1","Arles","0.4","1.0714","4.0094"
"170","F1","Auxerre","0.4","3.5714","2.4673"
"171","F1","Bordeaux","0.4","3.5714","2.4673"
"172","F1","Brest","0.4","2.8125","2.1589"
"173","F1","Caen","0.4","2.8125","2.6986"
"174","F1","Lens","0.4","2.0833","3.2383"
"175","F1","Lille","0.4","4.375","2.6986"
"176","F1","Lorient","0.4","1.4286","2.7757"
"177","F1","Lyon","0.4","3.5714","3.701"
"178","F1","Marseille","0.4","4.2857","2.4673"
