"","b1_division","b1_teams","b1_avg_HG","b1_home_as","b1_home_ds"
"1","B1","Anderlecht","0.8042","3.5528","0.8229"
"2","B1","Cercle Brugge","0.8042","2.1761","1.9201"
"3","B1","Charleroi","0.8042","0.7106","3.0173"
"4","B1","Club Brugge","0.8042","3.3159","2.8802"
"5","B1","Eupen","0.8042","1.8652","2.8802"
"6","B1","Genk","0.8042","3.9081","1.9201"
"7","B1","Gent","0.8042","2.6646","2.4687"
"8","B1","Germinal","0.8042","0.829","0.64"
"9","B1","Kortrijk","0.8042","2.3093","0.8229"
"10","B1","Lierse","0.8042","1.2435","3.2916"
"11","B1","Lokeren","0.8042","1.8652","2.2401"
"12","B1","Mechelen","0.8042","2.3315","1.2001"
"13","B1","St Truiden","0.8042","1.0658","3.0173"
"14","B1","Standard","0.8042","2.6424","2.4002"
"15","B1","Waregem","0.8042","2.3093","2.743"
"16","B1","Westerlo","0.8042","1.3989","2.1601"
"17","D1","Bayern Munich","0.7386","2.8771","1.2821"
"18","D1","Dortmund","0.7386","3.0947","0.9768"
"19","D1","Ein Frankfurt","0.7386","1.3539","2.5641"
"20","D1","FC Koln","0.7386","1.5473","3.1746"
"21","D1","Freiburg","0.7386","2.1276","2.6862"
"22","D1","Hamburg","0.7386","2.321","2.1978"
"23","D1","Hannover","0.7386","2.7078","2.5641"
"24","D1","Hoffenheim","0.7386","3.0947","1.9536"
"25","D1","Kaiserslautern","0.7386","2.9012","2.1978"
"26","D1","Leverkusen","0.7386","2.1276","2.9304"
"27","D1","Mainz","0.7386","2.2001","1.4957"
"28","D1","Mgladbach","0.7386","1.7407","4.3956"
"29","D1","Nurnberg","0.7386","2.4822","2.5641"
"30","D1","Schalke 04","0.7386","2.5144","2.442"
"31","D1","St Pauli","0.7386","1.3539","2.9304"
"32","D1","Stuttgart","0.7386","3.4815","2.442"
"33","D1","Werder Bremen","0.7386","2.7078","2.442"
"34","D1","Wolfsburg","0.7386","2.9335","2.849"
"35","D2","Aachen","0.6895","2.6935","3.9738"
"36","D2","Augsburg","0.6895","2.9007","2.318"
"37","D2","Bielefeld","0.6895","1.2431","3.6426"
"38","D2","Bochum","0.6895","2.1755","3.4771"
"39","D2","Cottbus","0.6895","3.6258","2.318"
"40","D2","Duisburg","0.6895","3.5222","1.3246"
"41","D2","Erzgebirge Aue","0.6895","2.4172","1.159"
"42","D2","Fortuna Dusseldorf","0.6895","1.692","1.9317"
"43","D2","Frankfurt FSV","0.6895","2.7194","2.6078"
"44","D2","Greuther Furth","0.6895","2.3568","1.4488"
"45","D2","Hertha","0.6895","3.0819","1.7385"
"46","D2","Ingolstadt","0.6895","1.6316","3.4771"
"47","D2","Karlsruhe","0.6895","2.4863","3.3115"
"48","D2","Munich 1860","0.6895","2.1755","1.9317"
"49","D2","Oberhausen","0.6895","1.9338","1.5454"
"50","D2","Osnabruck","0.6895","2.9007","2.9803"
"51","D2","Paderborn","0.6895","1.8647","1.9869"
"52","D2","Union Berlin","0.6895","1.9338","1.9317"
"53","E0","Arsenal","0.5658","4.2923","3.1116"
"54","E0","Aston Villa","0.5658","2.5249","1.7287"
"55","E0","Birmingham","0.5658","1.7674","1.7287"
"56","E0","Blackburn","0.5658","2.0199","2.0744"
"57","E0","Blackpool","0.5658","3.2402","4.4369"
"58","E0","Bolton","0.5658","3.7873","3.1116"
"59","E0","Chelsea","0.5658","4.2923","1.0372"
"60","E0","Everton","0.5658","2.2724","2.7659"
"61","E0","Fulham","0.5658","2.2724","3.4573"
"62","E0","Liverpool","0.5658","3.0298","2.0744"
"63","E0","Man City","0.5658","1.7674","1.7287"
"64","E0","Man United","0.5658","4.2923","1.7287"
"65","E0","Newcastle","0.5658","3.7873","3.1116"
"66","E0","Stoke","0.5658","2.7774","2.7659"
"67","E0","Sunderland","0.5658","2.2724","1.7287"
"68","E0","Tottenham","0.5658","2.7774","2.4201"
"69","E0","West Brom","0.5658","2.0199","3.1116"
"70","E0","West Ham","0.5658","1.7674","3.8031"
"71","E0","Wigan","0.5658","1.3256","4.5378"
"72","E0","Wolves","0.5658","2.2724","3.8031"
"73","E1","Barnsley","0.4764","4.1982","2.7878"
"74","E1","Bristol City","0.4764","1.7992","5.5757"
"75","E1","Burnley","0.4764","4.498","2.7878"
"76","E1","Cardiff","0.4764","4.498","1.9913"
"77","E1","Coventry","0.4764","3.5984","2.7878"
"78","E1","Crystal Palace","0.4764","2.6988","4.3809"
"79","E1","Derby","0.4764","5.3976","2.7878"
"80","E1","Doncaster","0.4764","3.5984","2.7878"
"81","E1","Hull","0.4764","1.4993","1.1948"
